card|card.id|family|type|title.en|title.it|caption.en|caption.it|description.en|description.it|knowledge.points|ritual|ritual.study|ritual.trasmutation|ritual.sacrifice
|BITEOFDEVIL|FW|I|Bite of the Devil's Fly|Morso della Mosca Diavolo|Insane Trasmigration|Folle Trasmigrazione|Turn an opponent's Continuos card of your choice. The owner cannot use it until the beginning of the next turn.|Gira una qualsiasi carta Cont di un avversario, è inutilizzabile fino all'inizio del prossimo turno.|1||||
|PETRIFYINGELIXIR|FW|I|Petrifying Elixir|Elisir Pietrificante|Horrible Transformation|Orrenda Trasformazione|Choose an opponent' Searcher marker. It cannot be moved until the end of turn.|Scegli un segnalino Cercatore avversario, non può essere mosso fino a fine Round.|3||||
|STONESOFMNAR|FW|A|Stones of Mnar|Pietre di Mnar|Protective Seal|Sigillo Protettivo|It counts as an Elders' Sign|Conta come un segnalino Segno degli Antichi.|1||||
|POWEDEROFIBNR|FW|I|Powder of Ibn Ghazi|Polvere di Ibn Ghazi|Abominius Revelator|Rilevatore di Abomini|Discard one opponent Entity card|Scarta una carta Entità avversaria.|2|H|2 FW|3 FW|1 FW + 2 EN
|PNAKHOTIC|FW|I|Pnakhotic Manuscripts|Manoscritti Pnacotici|Ancient Wisdom|Sapienza Antica|You gain 2 KP and the first FW card from your discards pile|Ricevi 2 PC e la prima carta Sapienza Proibita dagli scarti.|2|N|2 FW|1 FW + 1 AS|2 EN + 1 FW
|CHANTSOFDHOL|FW|C|Chants of Dhol|Canti di Dhol|Evocation Chants|Canti di Evocazione|You get 2 Entities with one action|Con un singolo acquisto ottieni 2 carte EN.|1|H|2 FW|1 EN + 2 OBS|1 EN + 2 FW
|SPELLOFTYOG|FW|I|Spell of T'Yog|Incantesimo di T'Yog|Trap the Beast|Imprigionare la Bestia|Choose one opponents' Entity; it cannot be used until the owner spends an Obsession card to free.|Scegli una carta EN avversaria, è inutilizzabile fino a quando non è spesa una Carta Ossessione.|2||||
|REGNUMCONGO|FW|I|Regnum Congo|Regnum Congo|Ode to Cannibalism|Ode al Cannibalismo|Discard one opponents' Dark Master|Scarta una carta Maestro Oscuro avversaria.|1||||
|BACCHANALIA|FW|I|Bacchanalia of Red Hook|Baccanali di Red Hook|Unholy Ritual|Empio Rituale|If your Searcher is on the Ritual Dashboard, you can immediately use the Power underneath for free. This cannot apply if it is the Evocation Power.|Se il tuo segnalino Cercatore è sulla Plancia Rituale puoi immediatamente usare il potere relativo gratis, a meno che non si tratti del Potere di Evocazione.|1||||
|MISKATONIC|FW|C|Miskatonic University|Miskatonic University|Weird Teachings|Strani Insegnamenti|Combination: add one FW and one AS card to get 2 KPs. For each additional FW/AS added you get 3 KPs to a maximum of 9 KPs. Then, discard the combination but keep one card of your choice|Combinazione: aggiungi una carta Sapienza Proibita e Scienza Aliena e ottieni 2 PC. Per ogni Sapienza Proibita e per ogni Scienza Aliena aggiunta, fino a un massimo di tre carte per tipo, ottieni 3 PC. Poi scarta normalmente la combinazione, tenendo una delle carte Componenti.|?||||
|MUSICOFZANN|FW|C|Music of Zann|Musica di Zann|Call to Great Old Ones|Chiamata agli Antichi|You earn 2 KPs each time you use the Invocation Power of a Great Old One|Ottieni 2 PC ogni volta che usi un Potere di Invocazione di un Grande Antico.|?||||
|SHUNNED|FW|C|The Shunned House|La Casa Evitata|Evil Place|Luogo Malvagio|Combination: add one EN card to get 2 KPs. For each additional EN added you get 2 KPs to a maximum of 6 KPs. Then, do not discar the combination, you can put Entities from the Combination into play and replace them on the Combination. Unless you pick all the Entities on the card without replacing them, you don't have to discard the combination|Combinazione: aggiungi una carta EN e ottieni 2 PC. Per ogni EN aggiunta, fino a un massimo di tre, ottieni 2 PC. Non scartare la combinazione, puoi giocare normalmente una delle carte EntitÃ  e rimpiazzarla successivamente con un'altra. Se giochi tutte le carte EntitÃ  senza rimpiazzarle, scarta la carta Combinazione.|?||||
|ELTDOWN|FW|I|Fragments of Eltdown|Frammenti di Eltdown|Incomplete Informations|Informazioni Incomplete|Exchange one opponent's permanent Obsession with one Research card, both randomly chosen|Sostituisci a caso tra loro una Carta Ossessione Permanente e una Carta Ricerca di un avversario.|2||||
|CHRONICLESNATH|FW|I|Chronicles of Naths|Cronache di Nath|Visions of Creatures|Visioni di Creature|You can look the last card on the Entities deck and put on top, if you want.|Puoi guardare l'ultima carta del mazzo EN e metterla in cima allo stesso, se vuoi.|3||||
|YULERITE|FW|A|Yule Rite|Rito di Yule|Invocation to Unnamed|Invocazione agli Innominati|You can use the Evocation Power of a Great Old One no more available in the game spending only the Activation cost of this card|Puoi utilizzare i Poteri di Invocazione di un Grande Antico non più disponibile in gioco, con la spesa della sola attivazione di questa carta.|1|H|1 DM + 1 FW|1 DM + 2 EN|1 DM + 1 FW + 1 EN
|BLACKSTONE|FW|I|The Black Stone|La Pietra Nera|Unknown Object|Oggetto Sconosciuto|Pick a FW or AS card from one of your opponents' Research Area and put back in its own deck. Then, shuffle the deck.|Prendi una carta Sapienza Proibita o Scienza Aliena da un'Area di Studio avversaria, ponila nel relativo mazzo mischiandolo.|2|H|2 AS|2 FW + 1 EN|2 FW + 1 EN
|SEVENHSAN|FW|C|Seven Cryptical Books of Hsan|Sette Libri Criptici di Hsan|Knowledge for the Chosen Ones|Conoscenze per Pochi Eletti|At the beginning of each turn, you gain 1 KP for each FW card left in the Research Area, before the area is cleansed.|A inizio turno guadagni 1 PC per ogni carta Sapienza Proibita rimasta nell'Area di Ricerca, prima che vengano scartate.|?||||
|BROWNJENKINS|FW|C|Brown Jenkins|Brown Jenkins|Malevolent Familiar|Famiglio Malevolo|It counts as a DM with Arcane Place Dark Bond. You get 3 KPs each time a Power is used|Conta a tutti gli effetti come un Maestro Oscuro. Si considera avere un Legame Oscuro: Luogo Arcano che fa ottenere 3 PC per qualsiasi Potere utilizzato. Conta a tutti gli effetti come un Maestro Oscuro. Si considera avere un Legame Oscuro: Luogo Arcano che fa ottenere 3 PC per qualsiasi Potere utilizzato.|?||||
|AKLORITUAL|FW|I|Third Aklo Ritual|Terzo Rituale Aklo|Exchange of Knowledge|Scambio Sapienziale|Pick up one of your opponents' FW card and exchange with one of your own. This exchange is permanent.|Scegli una carta Sapienza Proibita avversaria e scambiala definitivamente con una delle tue.|2|D|2 FW|3 FW|2 FW
|GREATRACELIBRARY|FW|C|Great Race of Yith's Library|Biblioteca della Grande Razza|Endless Knowledge|Infinite Conoscenze|You gain 3 KPs at the end of each turn|Ottieni 3 PC alla fine di ogni turno|?||||
|SOCIETYPSY|FW|C|Society for Psyonic Research|Società per la Ricerca Psichica|Mind Probing|Sondare le Menti|Combination: add one DM card to get 2 KPs. For each additional DM added you get 2 KPs to a maximum of 6 KPs. Do not discard the Combination, you can use the DM cards normally, one per turn. The DM cards locked into the Combination cannot be forced to be discarded by opponents' actions, but they don't count to the Dark Bond.|Combinazione: aggiungi una carta Maestro Oscuro e ottieni 2 PC. Per ogni carta Maestro Oscuro aggiunta, fino a un massimo di tre, ottieni 2 PC. Non scartare la combinazione, ogni turno puoi giocare normalmente una delle carte Maestro Oscuro. Le carte Maestro Oscuro bloccate da questa carta non possono essere scartate da azioni avversarie e non contano al fine del Legame Oscuro.|?||||
|MRNOYES|FW|C|Mr. Noyes|Mr. Noyes|Expendable Agent|Agente Sacrificabile|Discard this card instead of another one you would have to be discarded due to opponents' action|Scarta questa carta al posto di una qualsiasi altra carta che sei costretto a scartare da un'azione avversaria.|1||||
|BORELLUS|FW|I|Works of Borellus|Opera di Borellus|Alchemic Trasmutation|Trasmutazione Alchemica|You can choose to exchange one FW (Continuous or Activation) or AS with one of the same seed available on the Research Area.|Puoi decidere di scambiare una carta SP (Continua o Attivazione) o una carta SA in tuo possesso con un'altra dello stesso tipo presente nell'Area di Ricerca.|2||||
|SIGNOFKOTH|FW|I|Sign of Koth|Segno di Koth|Seal the Path|Sigilla la Via|Place this card on the Evocation Power of a Great Old One. It counts as Elders' Sign until the end of the turn.|Puoi piazzare la carta sul Potere di Evocazione di un Grande Antico, conta come un Segno degli Antichi fino a fine turno.|1||||
|3RDPSLALM|FW|I|III Psalm from the Liber Damnatus|III Salmo del Liver Damnatus|Call to External Spheres|Richiamo alle Sfere Esterne|If no Great Old One was already evocated, you can use any of the avaialbe Evocation Powers, even if your Ritual marker is not on the proper tile of the Ritual Dashboard.|Se non è stato evocato nessun Grande Antico, puoi usare gratis un qualsiasi Potere di Invocazione di un Grande Antico anche se il tuo segnalino Rituale non si trova nell'appropriato spazio della Plancia Rituale.|X||||
|SERPENTCAVE|FW|C|The Serpent Cave|Caverna del Serpente|A look into the Past|Uno Sguardo nel Passato|For each card you buy, you can take the one of the same seed at the bottom of the discards pile, instead.|Per ogni tipo di carta che acquisti puoi scegliere di acquistare quella sul fondo del relativo mazzo degli scarti.|1||||
|NONEUCLIDEANANGLES|AS|I|Non Euclidean Angles|Angoli Non Euclidei|Alien Maths|Matematica Aliena|Combination: 1 FW + 1 AS|Combinazione: 1 SP + 1 SA|2||||
|ALIENCYLINDER|AS|I|XXXX Cylinder|Cilindro XXX|Sidereal Transportation|Trasporto Siderale|Combination: 1 AS + 1 DM|Combinazione: 1 SA + 1 MO|3||||
|WAXSCULPUTERS|AS|I|Wax Sculptures|Sculture di Cera|Horrid Taxidermy|Orrida Imbalsamazione|Combination: 1 DM + 1 FW|Combinazione: 1 MO + 1 SP|3||||
|GEMOFNATH|AS|I|Gem of Nath|Gemma di Nath|Viewfinder to the Elsewhere|Visore sull'Altrove|Combination: 1 FW + 1 EN|Combinazione: 1 SP + 1 EN|3|H|1 FW + 1 AS|2 FW + 1 AS|2 FW + 1 EN
|ALIENMACHINE|AS|I|XXXX Machine|Macchina XXXX|Gate between Dimensions|Varco tra le Dimensioni|Combination: 1 AS + 1 EN|Combinazione: 1 EN + 1 SA|3||||
|TELETRANSMITTER|AS|I|Telephatic Transmitter|Trasmettitore Telepatico|Contact Alien Mind|Contatta Mente Aliena|Combination: 1 DM + 1 EN|Combinazione: 1 MO + 1 EN|4||||
|PENDULUM|AS|I|Pendulum Clock|Pendola|Transdimensional Vessel|Vascello Transdimensionale|Combination: 2 FW + 1 AS. You gain 1 KP for each FW card in your own, including the ones in this Combination.|Combinazione: 2 SP + 1 SA. Guadagni 1 PC per ogni carta Sapienza Proibita in tuo possesso, comprese quelle utilizzate per questa combinazione.|?|D|1 AS + 1 FW|2 RES|1 FW + 1 DM + 1 EN
|MINESMIGO|AS|I|Mines of Mi-Gos|Miniere dei Mi-Go|Alien Outpost|Avamposto Alieno|Combination: 2 AS + 1 DM. You gain 2 KP for each DM card in your own, including the ones in this Combination.|Combinazione: 2 SA + 1 MO. Guadagni 2 PC per ogni carta Maestro Oscuro in tuo possesso, comprese quelle utilizzate per questa combinazione.|?||||
|OLDONESPROTOPLASM|AS|A|Protoplasm of the Old Ones|Protoplasma degli Antichi|Life Generator|Generatore di Vita|Combination: 1 FW + 1 AS + 1 EN|Combinazione: 1 SP + 1 SA + 1 EN|2|H|2 EN|1 FW + 1 AS + 1 EN|3 EN
|ALIENARTIFACT|AS|I|XXXX|XXXX|XXXX|XXXX|Combination: 2 DM + 1 FW. You gain 2 KP for each DM card in your own, including the ones in this Combination.|Combinazione: 2 MO + 1 SP. Guadagni 3 PC per ogni carta Maestro Oscuro in tuo possesso, comprese quelle utilizzate per questa combinazione.|?||||
|YEKEBCUBE|AS|A|Yekeb Cube|Cubo di Yekeb|Alien Mind Trasmigration|Trasmigrazione di Mente Aliena|Combination: 1 AS + 1 DM + 1 EN|Combinazione: 1 SA + 1 MO + 1 EN|4|N|1 AS + 1 EN|1FW + 1 PLA|1 AS + 1 DM + 1 EN
|PREHUMANSITES|AS|A|Pre-human Sites|Siti Preumani|Revealing Schema|Schema Rilevatore|Combination: 1 FW + 1 AS + 1 DM|Combinazione: 1 SP + 1 SC + 1 MO|3|M|1 FW + 1 EDS|3 PLA|3 FW
|ALIENSPHERE|AS|A|XXXX Sphere|Sfera XXXX|Consciousness Amplification|Amplificazione della Coscienza|Combination: 2 FW + 1 AS + 1 DM. You gain 2 KP for each FW card in your own, including the ones in this Combination.|Combinazione: 2 SP + 1 SA + 1 MO. A ogni attivazione 2 PC per ogni carta SP in tuo possesso,comprese quelle utilizzate per questa combinazione.|?|D|2 AS|3 OBS|2 FW + 1 AS
|GREATRACETECH|AS|A|Great Race of Yith's Technology|Tecnologia della Grande Razza|Unbelieavable Wonders|Meraviglie Incredibili|Combination: 1 FW + 2 AS + 1 DM.You gain 3 KP for each AS card in your own, including the ones in this Combination.|Combinazione: 1 SP + 2 SA + 1 MO. A ogni attivazione 3 PC per ogni carta SA in tuo possesso,comprese quelle utilizzate per questa combinazione.|?||||
|SHININGTRAPRZOID|AS|C|Shining Trapezoid|Trapezoide Splendente|Call of Darkness|Richiamo Oscuro|Combination: 2 DM + 2 EN. At the beginning of each turn, you can discard a card from this Combination. If you discard a EN, you gain 3 KPs. If you discard a DM, you gain 4 KPs. You can replace the discarded cards at any time. If you discard all the cards of the Combination, discars this card too.|A inizio di ogni turno puoi scartare una carta della combinazione. Se è scartata una carta Entità ottieni 3 PC. Se è scartato un Maestro Oscuro ottieni 4 PC. Puoi sempre sostituire le carte scartate con carte dello stesso tipo. Se scarti tutte le carte senza sostituzioni, scarta anche questa carta.|?|N|2 EN|1 DM + 2 EN|1 AS + 1 DM + 1 EN
|BEAMINGGUN|AS|I|Beaming Gun|Pistola Fulminatrice|Deadly Weapon|Arma Mortale|Combination: 1 EN + 1 OBS, in this strict sequence. Pick a EN from one opponent's Research Area or from the Evocation Area and remove from the game.|Combinazione: 1 EN + 1 OSS, in questa esatta sequenza. Prendi una EN dall'Area di Ricerca di un avversario o dall'Area di Evocazione e rimuovila dal gioco.|2||||
|ELECTRICEXECUTIONER|AS|I|Electric Executioner|Boia Elettrico|Deadly Machine at a Distance|Macchina Assassina a Distanza|Combination: 1 DM + 1 OBS, in this strict sequence. Pick a DM from one opponent's Research Area or from the Evocation Area and remove from the game.|Combinazione: 1 MS + 1 OSS, in questa esatta sequenza. Prendi una EN dall'Area di Ricerca di un avversario o dall'Area di Evocazione e rimuovila dal gioco.|2||||
|GLOBULARMETEORITE|AS|I|Globular Meteorite|Meterorite Globulare|Carrier of Horrific Seeds|Portatore di Seme Mostruoso|Combination: 1 EN + 1 RIS, in this strict sequence. Pick a EN: this card cannot be locked by an Elders' Sign until the end of the turn.|Combinazione: 1 EN + 1 RIC, in questa esatta sequenza. Scegli una EN: non può essere bloccata da un Segno degli Antichi fino alla fine del turno.|2||||
|COLDAIR|AS|I|Cold Air|Aria Fredda|Unnatural Preservation|Preservazione Innaturale|Combination: 1 DM + 1 RIS, in this strict sequence. Pick a DM: this card cannot be locked by an Elders' Sign until the end of the turn.|Combinazione: 1 EN + 1 RIC, in questa esatta sequenza. Scegli una carta MO: non può essere bloccata da un Segno degli Antichi fino alla fine del turno.|2||||
|LAGHMETAL|AS|I|Lagh Metal|Metallo Lagh|Enchantments Box|Contenitore di Incantesimi|Combination: 1 FW + 1 EN. You get a FW card from the Research Area or from the discards piles.|Combinazione: 1 SP + 1 EN. Ottieni una carta SP dall'Area di Ricerca o da una qualunque pila di scarti.|3||||
|NKAISCIENCE|AS|I|N'Kai Science|Scienza di N'Kai|Indescribable Experiments|Esperimenti Indicibili|Combination: 2 AS + 1 EN. You get an AS card from the Research Area or from the discards piles.|Combinazione: 1 SA + 1 EN. Ottieni una carta SA dall'Area di Ricerca o da una qualunque pila di scarti.|3||||
|MARTINBEACHREMAINS|AS|I|Martin's Beach Remains|Carcassa di Martin's Beach|Evidence of Abyssal Intelligence|Prova di Intelligenza Abissale|Combination: 2 DM + 1 EN. You get an DM card from the Research Area or from the discards piles.|Combinazione: 1 MO + 1 EN. Ottieni una carta MO dall'Area di Ricerca o da una qualunque pila di scarti.|3||||
|ALIENVIRUS|AS|A|XXXX Virus|Virus XXXX|Infection not of This World|Infezione non di Questo Mondo|Combination: 1 FW + 1 AS + 1 DM + 1 EN. Flip an opponent's Activation or Continuos card. It cannot be used until the end of the turn.|Combinazione: 1 SP + 1 SA + 1 MO + 1 EN. Gira una carta Attivazione o Continua avversaria, non potrà più essere usata per il resto del turno.|4||||
|JOSEPHCURWEN|DM|C|Joseph Curwen|Joseph Curwen|Supreme Sorcerer|Sommo Sacerdote|The first time you use an Immediate FW card, don't discard it. You can use it a second time, then you must definitively discard it||4|M|||
